mid,name,stillalive
1,Bruce Dickinson,Y
2,Dave Murray,Y
3,Adrian Smith,Y
4,Steve Harris,Y
5,Clive Burr,Y
6,Nicko McBrain,Y
7,Janick Gers,Y
8,Roy Z,Y
9,Eddie Casillas,Y
10,Dave Ingraham,Y
11,Jon Oliva,Y
13,Criss Oliva,N
14,Keith Collins,Y
15,Steve Wacholz,Y
16,Johnny Lee Middleton,Y
17,Chris Caffery,Y
18,Zachary Stevens,Y
19,Alex Skolnick,Y
20,Al Pitrelli,Y
21,Jeff Plate,Y
22,Jon Schaffer,Y
23,Randy Shawver,Y
24,Gene Adam,Y
25,Dave Abell,Y
26,Mike McGill,Y
27,John Greely,Y
28,Richey Secchiari,Y
29,Matthew Barlow,Y
30,Rodney Beasley,Y
31,Mark Prator,Y
32,Larry Tarnowski,Y
33,James MacDonough,Y
34,Brent Smedley,Y
35,Steve DiGiorgio,Y
36,Richard Christy,Y
37,Vorphalak,Y
39,Rodolphe H.,Y
40,Xy,Y
42,Warrel Dane,Y
43,Lenny Rutledge,Y
44,Sean Blosl,Y
45,Jim Sheppard,Y
46,Dave Budbill,Y
47,Jeff Loomis,Y
48,Van Williams,Y
49,Pat O'Brien,Y
50,Tim Calvert,Y
51,Kai Hansen,Y
53,Michael Weikath,Y
54,Markus Grobkopf,Y
55,Ingo Schwichtenberg,N
56,Michael Kiske,Y
57,Ralf Scheepers,Y
58,Uwe Wessel,Y
59,Mathias Burchardt,Y
60,Midnight,Y
61,Jon Drenning,Y
62,Ben Jackson,Y
63,Jeff Lords,Y
64,Dana Burnell,Y
65,Wade Black,Y
66,Hansi Kursch,Y
68,Andre Olbrich,Y
69,Marcus Siepen,Y
70,Thomas Stauch,Y
71,Jim Morris,Y
72,Mikael Stanne,Y
73,Fredrik Johansson,Y
74,Niklas Sundin,Y
75,Martin Henriksson,Y
76,Anders Jivarp,Y
78,Michael Nicklasson,Y
79,Martin Brandstrom,Y
80,Mikael Akerfeldt,Y
82,Peter Lindgren,Y
83,Johan DeFarfalla,Y
84,Anders Nordin,Y
86,Martin Lopez,Y
87,Martin Mendez,Y
88,Raymond Rohonyi,Y
89,Liv Kristine,Y
90,Pal Bjastad,Y
91,Tommy Lindal,Y
92,Eirik Saltro,Y
93,Hein Frode Hansen,Y
94,Lorentz Aspen,Y
95,Geir Flikkeid,Y
96,Frank Claussen,Y
97,Tommy Olsson,Y
98,Morten Veland,Y
99,Vibeke Stene,Y
101,Anders H. Hidle,Y
102,Rune Osterhus,Y
103,Einar Moen,Y
104,Kenneth Olsson,Y
105,Tom Sedotschenko,N
106,Thorsten Weibenberger,Y
107,Stefan Kiefer,Y
108,Stefan Muller,Y
109,Michael Zeissl,Y
110,Marc Werner,Y
111,Benjamin Richter,Y
112,Johan Langquist,Y
113,Klas Bergwall,Y
114,Mats Bjorkman,Y
115,Leif Edling,Y
116,Matz Ekstroem,Y
117,Messiah Marcolin,Y
118,Lars Johansson,Y
119,Jan Lindh,Y
120,Mike Wead,Y
121,Nikkey Argento,Y
122,Marty Marteen,Y
123,Snowy Shaw,Y
124,Miguel Robaina,Y
125,Tim Baker,Y
126,Jerry Fogle,N
127,Flint,Y
128,Robert Garven,Y
129,Hans Zimmer,Y
130,Black Sabbath,Y
131,Susanne Sundfør,Y
132,Elton John,Y
133,Billy Corgan,Y
