mid,bid,startyear,endyear,instrument
1,1,1982,1992,vocals
1,1,2000,,vocals
1,2,1994,1999,vocals
2,1,,,guitar
3,1,1981,1988,guitar
3,1,2000,,guitar
3,2,1997,1999,guitar
4,1,,,bass
5,1,,1982,drums
6,1,1983,,drums
7,1,1990,,guitar
8,2,1994,1999,guitar
9,2,1994,1999,bass
10,2,1994,1999,drums
11,3,1989,,keyboards
11,3,2001,,vocals
11,3,,1991,vocals
13,3,,1993,guitar
14,3,1985,1985,bass
15,3,,1994,drums
15,10,1999,1999,drums
16,3,1987,,bass
17,3,1989,1989,guitar
17,3,1995,,guitar
18,3,1993,1998,vocals
19,3,1994,1994,guitar
20,3,1995,1998,guitar
21,3,1995,,drums
22,4,,,guitar
22,12,,,guitar
23,4,1991,1996,guitar
24,4,1991,1991,vocals
25,4,1991,1996,bass
26,4,1991,1991,drums
27,4,1992,1992,vocals
28,4,1992,1992,drums
29,4,1995,,vocals
30,4,1995,1995,drums
31,4,1996,1996,drums
31,12,1999,1999,drums
32,4,1998,,guitar
33,4,1998,1998,bass
34,4,1998,1998,drums
35,4,2001,2001,bass
36,4,2001,2001,drums
37,5,,,guitar
37,5,,,vocals
39,5,1995,1995,keyboards
40,5,1996,,keyboards
40,5,,,drums
42,6,,1990,vocals
42,7,,,vocals
43,6,,1990,guitar
44,6,,1990,guitar
45,6,,1990,bass
45,7,,,bass
46,6,,1990,drums
47,7,,,guitar
48,7,,,drums
49,7,1996,1996,guitar
50,7,1999,1999,guitar
51,8,,1986,vocals
51,8,,1988,guitar
51,9,,,guitar
53,8,,,guitar
54,8,,,bass
55,8,,1994,drums
56,8,1987,1990,vocals
57,9,,,vocals
58,9,,,bass
59,9,,,drums
60,10,,1988,vocals
61,10,,,guitar
62,10,,,guitar
63,10,,,bass
64,10,,1988,drums
65,10,1999,,vocals
66,11,,,bass
66,11,,,vocals
66,12,,,bass
66,12,,,vocals
68,11,,,guitar
69,11,,,guitar
70,11,,,drums
71,12,1999,1999,guitar
72,13,1999,,vocals
73,13,1999,1999,guitar
74,13,1999,,guitar
75,13,1999,1999,bass
75,13,2000,,guitar
76,13,1999,,drums
78,13,2000,,bass
79,13,2000,,keyboards
80,14,1997,1997,bass
80,14,,,guitar
80,14,,,vocals
82,14,,,guitar
83,14,,1996,bass
84,14,,1996,drums
86,14,1997,,drums
87,14,1999,,bass
88,15,,,vocals
89,15,,,vocals
90,15,,1995,guitar
91,15,,1996,guitar
92,15,,,bass
93,15,,,drums
94,15,,,keyboards
95,15,1996,1996,guitar
96,15,1998,,guitar
97,15,1998,,guitar
98,16,,,guitar
98,16,,,vocals
99,16,,,vocals
101,16,,,guitar
102,16,,,bass
103,16,,,keyboards
104,16,,,drums
105,17,,1998,vocals
106,17,,,guitar
107,17,,,guitar
108,17,,,bass
109,17,,,keyboards
110,17,,,drums
111,17,1999,,vocals
112,18,1986,1986,vocals
113,18,1986,1986,guitar
114,18,,1990,guitar
115,18,,1990,bass
116,18,1986,1986,drums
117,18,1987,1990,vocals
117,19,1993,1994,vocals
118,18,1987,1990,guitar
119,18,1987,1990,drums
120,19,1993,1994,guitar
121,19,1993,1994,guitar
122,19,1993,1994,bass
123,19,1993,1994,drums
124,19,1994,1994,keyboards
125,20,,1986,vocals
126,20,,1986,guitar
127,20,,1986,bass
128,20,,1986,drums
133,33,1988,,vocals
