rid,bid,title,year,type,rating
1,1,The Number Of The Beast,1982,album,10
2,1,Piece Of Mind,1983,album,10
3,1,Powerslave,1984,album,10
4,1,Somewhere In Time,1986,album,10
5,1,Seventh Son Of A Seventh Son,1988,album,10
6,1,Fear Of The Dark,1992,album,8
7,1,Brave New World,2000,album,
8,2,Balls To Picasso,1994,album,7
9,2,Shoot All The Clowns,1994,single,7
10,2,Accident Of Birth,1997,album,9
11,2,The Chemical Wedding,1998,album,10
12,3,Power Of The Night,1985,album,8
13,3,Hall Of The Mountain King,1987,album,10
14,3,Gutter Ballet,1989,album,10
15,3,Streets,1991,album,9
16,3,Edge Of Thorns,1993,album,8
17,3,Handful Of Rain,1994,album,9
18,3,Dead Winter Dead,1995,album,8
19,3,Wake Of Magellan,1998,album,
20,3,Poets And Madmen,2001,album,9
21,4,Iced Earth,1991,album,7
22,4,Night Of The Stormrider,1992,album,8
23,4,Burnt Offerings,1995,album,10
24,4,The Dark Saga,1996,album,9
25,4,Something Wicked This Way Comes,1998,album,8
26,4,Horror Show,2001,album,9
27,5,Rebellion,1995,mini,8
28,5,Passage,1996,album,
29,5,Exodus,1998,mini,8
30,5,Eternal,1999,album,10
31,6,Refuge Denied,1988,album,10
32,6,Into The Mirror Black,1990,album,9
33,7,Nevermore,1995,album,7
34,7,In Memory,1996,mini,10
35,7,The Politics Of Ecstasy,1996,album,9
36,7,Dreaming Neon Black,1999,album,10
37,7,Dead Heart In A Dead World,2000,album,9
38,8,Helloween,1985,mini,10
39,8,Walls Of Jericho,1986,album,10
40,8,Keeper Of The Seven Keys I,1987,album,10
41,8,Keeper Of The Seven Keys II,1988,album,8
42,9,Heading For Tomorrow,1989,album,9
43,10,Crimson Glory,1986,album,8
44,10,Transcendence,1988,album,10
45,10,Lonely,1989,single,9
46,10,Astronomica,1999,album,8
47,11,Follow The Blind,1990,album,8
48,11,Tales From The Twilight World,1991,album,9
49,11,Somewhre Far Beyond,1992,album,10
50,11,Tokyo Tales,1993,live,8
51,11,Imaginations From The Other Side,1995,album,10
52,11,Nightfall In Middle Earth,1998,album,10
53,12,Demons & Wizards,1999,album,8
54,2,Scream For Me Brazil,1999,live,8
