title,rid,cdbonus
A Tale That Wasn't Right,40,N
Future World,40,N
Halloween,40,N
Follow The Sign,40,N
Invitation,41,N
Eagle Fly Free,41,N
You Always Walk Alone,41,N
Rise And Fall,41,N
Dr Stein,41,N
We Got The Right,41,N
Save Us,41,N
March Of Time,41,N
I Want Out,41,N
Keeper Of The Seven Keys,41,N
Welcome,42,N
Lust For Life,42,N
Heaven Can Wait,42,N
Space Eater,42,N
Money,42,N
The Silence,42,N
Hold Your Ground,42,N
Free Time,42,N
Heading For Tomorrow,42,N
Look At Yourself,42,Y
Valhalla,43,N
Dragon Lady,43,N
Heart Of Steel,43,N
Azrael,43,N
Mayday,43,N
Queen Of The Masquerade,43,N
Angels Of War,43,N
Lost Reflection,43,N
Lady Of Winter,44,N
Red Sharks,44,N
Painted Skies,44,N
Masque Of Red Death,44,N
In Dark Places,44,N
Where Dragons Rule,44,N
Lovely,44,N
Burning Bridges,44,N
Eternal World,44,N
Transcendence,44,N
Lovely --- Remix,45,N
In Dark Places,45,N
Dream Dancer,45,N
March To Glory (Instrumental),46,N
War Of The Worlds,46,N
New World Machine,46,N
Astronomica,46,N
Edge Of Forever,46,N
Touch The Sun,46,N
Lucifer's Hammer,46,N
The Other Side Of Midnight,46,N
Cydonia,46,N
Painted Skies --- Live,46,Y
Queen Of The Masquerade --- Live,46,Y
Lost Reflection --- Live,46,Y
Inquisition,47,N
Banish From Sanctuary,47,N
Damned For All Time,47,N
Follow The Blind,47,N
Hall Of The King,47,N
Fast To Madness,47,N
Beyond The Ice,47,N
Valhalla,47,N
Don't Break The Circle,47,Y
Barbara Ann,47,Y
Traveler In Time,48,N
Welcome To Dying,48,N
Weird Dreams,48,N
Lord Of The Rings,48,N
Goodbye My Friend,48,N
Lost In The Twilight Hall,48,N
Tommyknockers,48,N
Altair 4,48,N
The Last Candle,48,N
Run For The Night,48,Y
Time What Is Time,49,N
Journey Through The Dark,49,N
Black Chamber,49,N
Theatre Of Pain,49,N
The Quest For Tanelorn,49,N
Ashes To Ashes,49,N
The Bard's Song --- In The Forest,49,N
The Bard's Song --- The Hobbit,49,N
The Piper's Calling,49,N
Somewhere Far Beyond,49,N
Spread Your Wings,49,Y
Trial By Fire,49,Y
Theatre Of Pain --- Remix,49,Y
Inquisition,50,N
Banish From Sanctuary,50,N
Journey Through The Dark,50,N
Traveler In Time,50,N
The Quest For Tanelorn,50,N
Goodbye My Friend,50,N
Time What Is Time,50,N
Majesty,50,N
Valhalla,50,N
Welcome To Dying,50,N
Lost In The Twilight Hall,50,N
Barbara Ann,50,N
Imaginations From The Other Side,51,N
I'm Alive,51,N
A Past And Future Secret,51,N
The Script For My Requiem,51,N
Mordred's Song,51,N
Born In A Mourning Hall,51,N
Bright Eyes,51,N
Another Holy War,51,N
And The Story Ends,51,N
War Of Wrath,52,N
Into The Storm,52,N
Lammoth,52,N
Nightfall,52,N
The Minstel,52,N
The Curse Of Feanor,52,N
Captured,52,N
Blood Tears,52,N
Mirror Mirror,52,N
Face The Truth,52,N
Noldor (Dead Winter Reigns),52,N
Battle Of Sudden Flame,52,N
Time Stands Still (At The Iron Hill),52,N
The Dark Elf,52,N
Thorn,52,N
The Eldar,52,N
Nom The Wise,52,N
When Sorrow Sang,52,N
Out On The Water,52,N
The Steadfast,52,N
A Dark Passage,52,N
Final Chapter (Thus Ends...),52,N
Rites Of Passage,53,N
Heaven Denies,53,N
Poor Man's Crusade,53,N
Fiddler On The Green,53,N
Blood On My Hands,53,N
Path Of Glory,53,N
Winter Of Souls,53,N
The Whistler,53,N
Tear Down The Wall,53,N
Gallows Pole,53,N
My Last Sunrise,53,N
Chant,53,N
Trumpets Of Jericho,54,N
King In Crimson,54,N
Chemical Wedding,54,N
Gates Of Urizen,54,N
Killing Floor,54,N
Book Of Thel,54,N
Tears Of The Dragon,54,N
Laughing In The Hiding Bush,54,N
Accident Of Birth,54,N
The Tower,54,N
Dark Side Of Aquarius,54,N
The Road To Hell,54,N
City Beneath The Surface,55,N
24 Hours Ago,55,N
Legions,55,N
Strange Wings,55,N
Gutter Ballet,55,N
When The Crowds Are Gone,55,N
Of Rage And War,55,N
The Dungeons Are Calling,55,N
Sirens,55,N
Hounds,55,N
Criss Intro,55,N
Hall Of The Mountain King,55,N
Post Script,55,N
Free Card,56,N
There In,56,N
Undo Control,56,N
Auctioned,56,N
To A Bitter Halt,56,N
The Sun Fired Blanks,56,N
Nether Novas,56,N
Day To End,56,N
Doberman,56,N
On Your Time,56,N
The Wonders At Your Feet,57,N
Not Built To Last,57,N
Indifferent Suns,57,N
Feast Of Burden,57,N
Haven,57,N
The Same,57,N
Fabric,57,N
Ego Drama,57,N
Rundown,57,N
Emptier Still,57,N
At Loss For Words,57,N
Advent,58,N
The Night And The Silent Water,58,N
Nectar,58,N
Black Rose Immortal,58,N
To Bid You Farewell,58,N
Prologue,59,N
April Ethereal,59,N
When,59,N
Madrigal,59,N
The Amen Corner,59,N
Demon Of The Fall,59,N
Credence,59,N
Karma,59,N
Epilogue,59,N
Circle Of The Tyrant,59,Y
Remember Tomorrow,59,Y
The Moor,60,N
Godheads Lament,60,N
Benighted,60,N
Moonlapse Vertigo,60,N
Face Of Melinda,60,N
Serenity Painted Death,60,N
White Cluster,60,N
A Hamlet For A Slothful Vassal,61,N
Cherrful Dirge,61,N
To These Words I Beheld No Tongue,61,N
Hollow-Hearted Heart-Departed,61,N
...A Distance There Is....,61,N
Sweet Art Thou,61,N
Mire,61,N
Dying --- I Only Feel Apathy,61,N
Monotone,61,N
Velvet Darkness They Fear,62,N
Bring Forth Ye Shadow,62,N
Seraphic Deviltry,62,N
And When He Falleth,62,N
Der Tanz Der Schatten,62,N
Black As The Devil Painteth,62,N
On Whom The Moon Doth Shine,62,N
The Masquerader And Phoenix,62,N
Cassandra,63,N
Lorelei,63,N
Angelique,63,N
Aoede,63,N
Siren,63,N
Venus,63,N
Poppaea,63,N
Bacchante,63,N
Preludium,64,N
Evenfall,64,N
Pale Enchantress,64,N
December Elegy,64,N
Midwintertears,64,N
Angellore,64,N
My Lost Lenore,64,N
Wasteland's Caress,64,N
Postludium,64,N
Beyond The Veil,65,N
Aphelion,65,N
A Sequel Of Decay,65,N
Open Relinque,65,N
Lethean River,65,N
...Of Ruins And A Red Nightfall,65,N
Simbelmyne,65,N
Angina,65,N
Heretique,65,N
Dementia,65,N
The Bride Wears Black,66,N
A New Winter,66,N
The Phoenix --- Spring,66,N
The Dancer --- Under A Summer Sky,66,N
Twilight,66,N
Autumn Leaves,66,N
Untergehen Und Auferstehen,66,N
To Learn Silent Oblivion,66,N
A Winternight Depression,66,N
Epilogue,66,N
Embittered,67,N
Fields Of Ashes,67,N
Escape...,67,N
...On Lucid Wings,67,N
Martyrium,67,N
The Failure,67,N
The Downfall,67,N
Dedications,67,N
Stormbirds,67,N
As I Breathe The Dawn,67,N
Spleen,67,N
Universe,67,N
A Part Of You,67,N
Valse Bizarre,67,N
Misery's Dawn,68,N
Fall Into Oblivion,68,N
Kolyma,68,N
Redemption,68,N
House Of The Rising Sun,68,N
The Eclipse Of The Seventh Sun (Instrumental),68,N
Passion And Demise,68,N
Dies Irae (Grave New World),68,N
Where No Shadows Fall,68,N
House Of The Rising Sun --- Remix,68,Y
Solitude,69,N
Demons Gate,69,N
Crystal Ball,69,N
Black Stone Wielder,69,N
Under The Oak,69,N
A Sorcerer's Pledge,69,N
Gothic Stone,70,N
The Well Of Souls,70,N
Codex Gigas,70,N
At The Gallows End,70,N
Samarithan,70,N
Marche Funebre,70,N
Dark Are The Veils Of Death,70,N
Mourners Lament,70,N
Bewitched,70,N
Black Candles,70,N
Mirror Mirror,71,N
A Cry From The Crypt,71,N
Darkness In Paradise,71,N
Incarnation Of Evil,71,N
Bearer Of Pain,71,N
Ancient Dreams,71,N
The Bells Of Acheron,71,N
Epistle No. 81,71,N
Black Sabbath Medley,71,Y
The Prophecy,72,N
Dark Reflections,72,N
Voices In The Wind,72,N
Under The Oak,72,N
Tears,72,N
Into The Unfathomed Tower (Instrumental),72,N
The Edge Of Heaven,72,N
Somewhere In Nowhere,72,N
Through The Infinitive Halls Of Death,72,N
Dawn,72,N
A Tale Of Creation,72,N
The Well Of Souls,73,N
Dark Are The Veils Of Death,73,N
Bewitched,73,N
Solitude,73,N
Dark Reflections,73,N
Under The Oak,73,N
Demons Gate,73,N
Through The Infinitive Halls Of Death,73,N
Samarithan,73,N
Mirror Mirror,73,N
At The Gallows End,73,N
A Sorcerer's Pledge,73,N
The Rhyme,74,N
The Seeds Of Hatred,74,N
Morbid Fear,74,N
The Caravan Of Souls,74,N
Lost Horizons,74,N
When Nothing Remains,74,N
